Finally - out of queue
Wed Jul 24 11:15:36 2024       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 515.105.01   Driver Version: 515.105.01   CUDA Version: 11.7     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  Off  | 00000000:3B:00.0 Off |                    0 |
| N/A   69C    P0    60W / 250W |   1051MiB / 32768MiB |     31%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
|   1  Tesla V100-PCIE...  Off  | 00000000:86:00.0 Off |                    0 |
| N/A   65C    P0    63W / 250W |   1051MiB / 32768MiB |     31%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|    0   N/A  N/A   1318225      C   python                           1047MiB |
|    1   N/A  N/A   1318226      C   python                           1047MiB |
+-----------------------------------------------------------------------------+
------------------------ ft-medical.py ---------------------------
------------------------ ft-medical.py ---------------------------
------------------------  ---------------------------
	output_dir: ./out
	cache_dir: /dpc/kunf0097/l3-8b
	train_data_path: ./data/medical.json # NO
	model_name: meta-llama/Meta-Llama-3-8B-Instruct
	model_save_path: /dpc/kunf0097/l3-8b/model/meta-llama/Meta-Llama-3-8B-Instruct-v240724111548
	run_id: 240724111548
	chpt_dir: /dpc/kunf0097/l3-8b/chpt/240724111548
	last_checkpoint: None
	per_device_train_batch_size: 4
	gradient_accumulation_steps: 2
	world_size: 2
	local_rank: 0
------------------------  ---------------------------
------------------------  ---------------------------
	output_dir: ./out
	cache_dir: /dpc/kunf0097/l3-8b
	train_data_path: ./data/medical.json
	model_name: meta-llama/Meta-Llama-3-8B-Instruct
	model_save_path: /dpc/kunf0097/l3-8b/model/meta-llama/Meta-Llama-3-8B-Instruct-v240724111548
	run_id: 240724111548
	chpt_dir: /dpc/kunf0097/l3-8b/chpt/240724111548
	last_checkpoint: None
	per_device_train_batch_size: 4
	gradient_accumulation_steps: 2
	world_size: 2
	local_rank: 1
------------------------  ---------------------------
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Token is valid (permission: write).
Your token has been saved to /home/kunet.ae/ku5001069/.cache/huggingface/token
Login successful
Your token has been saved to /home/kunet.ae/ku5001069/.cache/huggingface/token
Login successful
{'loss': 3.818, 'grad_norm': 3.2245144844055176, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 3.8525, 'grad_norm': nan, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 3.8875, 'grad_norm': 2.9153079986572266, 'learning_rate': 0.00029998598392823767, 'epoch': 0.0}
{'loss': 3.7354, 'grad_norm': 2.767280340194702, 'learning_rate': 0.0002999719678564754, 'epoch': 0.0}
{'loss': 3.3367, 'grad_norm': 2.4936161041259766, 'learning_rate': 0.0002999579517847131, 'epoch': 0.0}
{'loss': 3.0455, 'grad_norm': 1.7328263521194458, 'learning_rate': 0.0002999439357129508, 'epoch': 0.0}
{'loss': 2.8611, 'grad_norm': 1.7479649782180786, 'learning_rate': 0.00029992991964118855, 'epoch': 0.0}
{'loss': 2.7546, 'grad_norm': 1.4796730279922485, 'learning_rate': 0.00029991590356942625, 'epoch': 0.0}
{'loss': 2.7372, 'grad_norm': 1.0237553119659424, 'learning_rate': 0.00029990188749766394, 'epoch': 0.0}
{'loss': 2.5761, 'grad_norm': 0.8333666324615479, 'learning_rate': 0.0002998878714259017, 'epoch': 0.0}
{'loss': 2.4245, 'grad_norm': 0.8210384845733643, 'learning_rate': 0.0002998738553541394, 'epoch': 0.0}
{'loss': 2.4049, 'grad_norm': 0.7793846130371094, 'learning_rate': 0.00029985983928237713, 'epoch': 0.0}
{'loss': 2.5498, 'grad_norm': 0.7339956164360046, 'learning_rate': 0.0002998458232106148, 'epoch': 0.0}
{'loss': 2.4172, 'grad_norm': 0.7300798296928406, 'learning_rate': 0.0002998318071388525, 'epoch': 0.0}
{'loss': 2.3992, 'grad_norm': 0.6767879724502563, 'learning_rate': 0.0002998177910670902, 'epoch': 0.0}
{'loss': 2.375, 'grad_norm': 0.7883473038673401, 'learning_rate': 0.00029980377499532797, 'epoch': 0.0}
{'loss': 2.3896, 'grad_norm': 0.8012716770172119, 'learning_rate': 0.00029978975892356566, 'epoch': 0.0}
{'loss': 2.3529, 'grad_norm': 0.7007845640182495, 'learning_rate': 0.00029977574285180335, 'epoch': 0.0}
{'loss': 2.4479, 'grad_norm': 0.7092300057411194, 'learning_rate': 0.0002997617267800411, 'epoch': 0.0}
{'loss': 2.4904, 'grad_norm': 0.7768942713737488, 'learning_rate': 0.0002997477107082788, 'epoch': 0.0}
{'loss': 2.258, 'grad_norm': 0.611212968826294, 'learning_rate': 0.0002997336946365165, 'epoch': 0.0}
{'loss': 2.3196, 'grad_norm': 0.6756105422973633, 'learning_rate': 0.00029971967856475424, 'epoch': 0.0}
{'loss': 2.515, 'grad_norm': 0.6515973210334778, 'learning_rate': 0.00029970566249299193, 'epoch': 0.0}
{'loss': 2.2984, 'grad_norm': 0.6161953806877136, 'learning_rate': 0.0002996916464212297, 'epoch': 0.0}
{'loss': 2.4084, 'grad_norm': 0.6065562963485718, 'learning_rate': 0.0002996776303494674, 'epoch': 0.0}
{'loss': 2.4093, 'grad_norm': 0.6304276585578918, 'learning_rate': 0.00029966361427770507, 'epoch': 0.0}
